country,date,yearly_cases,yearly_deaths,yearly_cases_per_million,yearly_deaths_per_million,Region,IncomeGroup,date_health,health_percentage_gdp
Barbados,2021,27938.0,253.0,98976.85887171057,896.3113069848513,Latin America & Caribbean,High income,2021,7.93866014
Barbados,2022,77205.0,308.0,273516.65792792663,1091.161591111993,Latin America & Caribbean,High income,2022,6.29389191
Belarus,2019,,,,,Europe & Central Asia,Upper middle income,2019,5.86133814
Belarus,2020,192361.0,1414.0,20969.913410711,154.1448503737522,Europe & Central Asia,Upper middle income,2020,6.40607214
Belarus,2021,505239.0,4147.0,55077.7864625065,452.0782846534303,Europe & Central Asia,Upper middle income,2021,6.56549978
Belarus,2022,296437.0,1557.0,32315.584872874097,169.73375674111185,Europe & Central Asia,Upper middle income,2022,6.65919876
Belgium,2019,,,,,Europe & Central Asia,High income,2019,10.75969219
Belgium,2020,645277.0,19638.0,55427.79231214114,1686.85848933997,Europe & Central Asia,High income,2020,11.26481915
Belgium,2021,1451435.0,8679.0,124674.8880474162,745.5058982066196,Europe & Central Asia,High income,2021,11.04724503
Belgium,2022,2588192.0,5002.0,222319.66835939483,429.6601570260991,Europe & Central Asia,High income,2022,10.76192474
Belize,2019,,,,,Latin America & Caribbean,Upper middle income,2019,4.84424496
Belize,2020,10668.0,241.0,26491.77657310444,598.4737677276124,Latin America & Caribbean,Upper middle income,2020,5.35447645
Belize,2021,21399.0,356.0,53140.00064565634,884.0525365602906,Latin America & Caribbean,Upper middle income,2021,5.05842113
Belize,2022,37879.0,91.0,94064.67986620014,225.97972142411936,Latin America & Caribbean,Upper middle income,2022,4.23173904
Benin,2019,,,,,Sub-Saharan Africa,Lower middle income,2019,2.50914454
Benin,2020,3251.0,44.0,236.2738416004468,3.19780037847421,Sub-Saharan Africa,Lower middle income,2020,2.7123611
Benin,2021,21793.0,117.0,1583.85599200201,8.503241915488239,Sub-Saharan Africa,Lower middle income,2021,2.58129549
Benin,2022,2942.0,2.0,213.81656166979928,0.14535456265791957,Sub-Saharan Africa,Lower middle income,2022,2.67981386
Bermuda,2019,,,,,North America,High income,2019,
Bermuda,2020,595.0,10.0,9191.460438100534,154.4783266907653,North America,High income,2020,
Bermuda,2021,5736.0,96.0,88608.76818982296,1482.9919362313467,North America,High income,2021,
Bermuda,2022,12291.0,47.0,189869.31133561963,726.0481354465969,North America,High income,2022,
Bhutan,2019,,,,,South Asia,Lower middle income,2019,3.37511158
Bhutan,2020,670.0,0.0,858.0195372329254,0.0,South Asia,Lower middle income,2020,4.08451509
Bhutan,2021,1990.0,3.0,2548.4460881992864,3.8418785249235463,South Asia,Lower middle income,2021,3.0729053
Bhutan,2022,59871.0,18.0,76672.36972189922,23.051271149541275,South Asia,Lower middle income,2022,4.38545895
Bolivia,2019,,,,,Latin America & Caribbean,Lower middle income,2019,6.88792992
Bolivia,2020,156887.0,9135.0,12990.451930475698,756.3901303797988,Latin America & Caribbean,Lower middle income,2020,8.0225811
Bolivia,2021,434886.0,10515.0,36009.13828575252,870.6559628838079,Latin America & Caribbean,Lower middle income,2021,8.159729
Bolivia,2022,564384.0,2641.0,46731.744646335224,218.67830698774537,Latin America & Caribbean,Lower middle income,2022,8.43142891
Bonaire Sint Eustatius and Saba,2019,,,,,,,2019,
Bonaire Sint Eustatius and Saba,2020,186.0,3.0,6502.587050762131,104.880436302615,,,2020,
Bonaire Sint Eustatius and Saba,2021,3053.0,19.0,106733.32401062787,664.2427632498951,,,2021,
Bonaire Sint Eustatius and Saba,2022,8477.0,17.0,296357.1528457558,594.3224723814852,,,2022,
Bosnia and Herzegovina,2019,,,,,Europe & Central Asia,Upper middle income,2019,8.92544365
Bosnia and Herzegovina,2020,110985.0,4050.0,34631.19038183708,1263.7412357205042,Europe & Central Asia,Upper middle income,2020,9.70311832
Bosnia and Herzegovina,2021,179486.0,9378.0,56005.89121840257,2926.2630391572566,Europe & Central Asia,Upper middle income,2021,9.55514336
Bosnia and Herzegovina,2022,110622.0,2806.0,34517.92172293176,875.5698536868476,Europe & Central Asia,Upper middle income,2022,8.71644783
Botswana,2019,,,,,Sub-Saharan Africa,Upper middle income,2019,6.12193203
Botswana,2020,14637.0,43.0,5999.156503102863,17.62408482840904,Sub-Saharan Africa,Upper middle income,2020,6.1213398
Botswana,2021,207416.0,2409.0,85012.0274132393,987.3586128287761,Sub-Saharan Africa,Upper middle income,2021,6.30754805
Botswana,2022,105978.0,334.0,43436.40144058448,136.89405424857262,Sub-Saharan Africa,Upper middle income,2022,5.72838593
Brazil,2019,,,,,Latin America & Caribbean,Upper middle income,2019,9.61449146
Brazil,2020,7563551.0,192681.0,35964.442881940835,916.1919869298484,Latin America & Caribbean,Upper middle income,2020,9.62326527
